adm1,adm2,adm3,adm4,kode_diminta,provinsi,kotkab,kecamatan,desa,analysis_date,utc_datetime,local_datetime,time_index,t,hu,tp,tcc,ws,wd,wd_deg,wd_to,vs,vs_text,weather,weather_desc,weather_desc_en,image,datetime
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-20 15:00:00,2026-09-20 23:00:00,14-15,24,92,0,39,16.1,E,104,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T15:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-20 18:00:00,2026-09-21 02:00:00,17-18,24,94,0,31,15.4,E,94,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T18:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-20 21:00:00,2026-09-21 05:00:00,20-21,24,95,0,41,15.1,N,11,S,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T21:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-21 00:00:00,2026-09-21 08:00:00,23-24,27,78,0,57,17.7,NE,71,SW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T00:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-21 03:00:00,2026-09-21 11:00:00,26-27,30,74,0,39,14.4,S,186,N,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T03:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-21 06:00:00,2026-09-21 14:00:00,29-30,32,74,0,5,18.8,SE,164,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T06:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-21 09:00:00,2026-09-21 17:00:00,32-33,28,82,0,4,14.9,SE,166,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T09:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-21 12:00:00,2026-09-21 20:00:00,35-36,25,86,0,1,16.7,E,126,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T12:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-21 15:00:00,2026-09-21 23:00:00,38-39,25,91,0,27,28.9,E,119,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T15:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-21 18:00:00,2026-09-22 02:00:00,41-42,25,96,0,51,19.4,N,43,S,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T18:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-21 21:00:00,2026-09-22 05:00:00,44-45,24,97,0,57,12.6,NW,338,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T21:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-22 00:00:00,2026-09-22 08:00:00,47-48,27,80,0,19,12.6,NW,343,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T00:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-22 03:00:00,2026-09-22 11:00:00,50-51,31,73,0,0,20,E,112,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T03:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-22 06:00:00,2026-09-22 14:00:00,53-54,32,77,0,53,20,E,112,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T06:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-22 09:00:00,2026-09-22 17:00:00,56-57,27,87,0,66,22.8,E,90,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,2026-09-22T09:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-22 12:00:00,2026-09-22 20:00:00,59-60,25,89,0,42,22.8,E,90,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-22T12:00:00Z
51,51.71,51.71.01,51.71.01.1005,51.71.01.1005,Bali,Kota Denpasar,Denpasar Selatan,Renon,2026-09-20T00:00:00,2026-09-22 15:00:00,2026-09-22 23:00:00,62-63,25,88,0,61,12.3,E,112,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-pm.svg,2026-09-22T15:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-20 12:00:00,2026-09-20 20:00:00,11-12,26,88,0,39,22.1,SE,136,NW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T12:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-20 15:00:00,2026-09-20 23:00:00,14-15,25,92,0,29,16.1,E,104,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T15:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-20 18:00:00,2026-09-21 02:00:00,17-18,25,94,0,27,14.4,E,102,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T18:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-20 21:00:00,2026-09-21 05:00:00,20-21,24,95,0,46,14,N,11,S,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T21:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-21 00:00:00,2026-09-21 08:00:00,23-24,27,80,0,58,17.2,NE,71,SW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T00:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-21 03:00:00,2026-09-21 11:00:00,26-27,30,77,0,35,14.3,S,185,N,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T03:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-21 06:00:00,2026-09-21 14:00:00,29-30,31,76,0,2,18.8,SE,164,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T06:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-21 09:00:00,2026-09-21 17:00:00,32-33,27,83,0,3,14.9,SE,166,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T09:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-21 12:00:00,2026-09-21 20:00:00,35-36,25,87,0,1,20.2,E,126,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T12:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-21 15:00:00,2026-09-21 23:00:00,38-39,25,90,0,23,27.6,E,119,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T15:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-21 18:00:00,2026-09-22 02:00:00,41-42,25,96,0,53,21.1,N,43,S,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T18:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-21 21:00:00,2026-09-22 05:00:00,44-45,24,96,0,53,11.9,NW,338,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T21:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-22 00:00:00,2026-09-22 08:00:00,47-48,27,82,0,12,11.8,NW,343,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T00:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-22 03:00:00,2026-09-22 11:00:00,50-51,31,76,0,0,20,E,112,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T03:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-22 06:00:00,2026-09-22 14:00:00,53-54,32,79,0,53,20,E,112,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T06:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-22 09:00:00,2026-09-22 17:00:00,56-57,27,88,0,64,24.6,E,90,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,2026-09-22T09:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-22 12:00:00,2026-09-22 20:00:00,59-60,25,89,0,38,24.6,E,90,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-22T12:00:00Z
51,51.71,51.71.01,51.71.01.1006,51.71.01.1006,Bali,Kota Denpasar,Denpasar Selatan,Sanur,2026-09-20T00:00:00,2026-09-22 15:00:00,2026-09-22 23:00:00,62-63,25,87,0,60,11.5,E,112,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-pm.svg,2026-09-22T15:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-20 12:00:00,2026-09-20 20:00:00,11-12,26,87,0,38,24.6,E,131,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T12:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-20 15:00:00,2026-09-20 23:00:00,14-15,25,92,0,26,17.5,E,98,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T15:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-20 18:00:00,2026-09-21 02:00:00,17-18,24,95,0,28,15,E,97,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T18:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-20 21:00:00,2026-09-21 05:00:00,20-21,24,96,0,47,13.9,N,28,S,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T21:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-21 00:00:00,2026-09-21 08:00:00,23-24,27,75,0,59,17.4,E,108,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T00:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-21 03:00:00,2026-09-21 11:00:00,26-27,30,71,0,34,14.2,E,132,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T03:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-21 06:00:00,2026-09-21 14:00:00,29-30,31,69,0,2,17.6,SE,139,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T06:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-21 09:00:00,2026-09-21 17:00:00,32-33,27,80,0,4,14.7,SE,136,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T09:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-21 12:00:00,2026-09-21 20:00:00,35-36,25,86,0,0,23.3,E,126,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T12:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-21 15:00:00,2026-09-21 23:00:00,38-39,25,91,0,26,27.7,E,110,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T15:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-21 18:00:00,2026-09-22 02:00:00,41-42,25,96,0,47,20.6,NE,82,SW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T18:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-21 21:00:00,2026-09-22 05:00:00,44-45,24,96,0,52,11.6,N,13,S,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T21:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-22 00:00:00,2026-09-22 08:00:00,47-48,27,77,0,10,12,NE,80,SW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T00:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-22 03:00:00,2026-09-22 11:00:00,50-51,31,69,0,0,18.1,E,112,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T03:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-22 06:00:00,2026-09-22 14:00:00,53-54,32,74,0,53,18.1,E,112,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T06:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-22 09:00:00,2026-09-22 17:00:00,56-57,27,86,0,64,22.8,E,90,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,2026-09-22T09:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-22 12:00:00,2026-09-22 20:00:00,59-60,25,88,0,39,22.8,E,90,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-22T12:00:00Z
51,51.71,51.71.01,51.71.01.2007,51.71.01.2007,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,2026-09-20T00:00:00,2026-09-22 15:00:00,2026-09-22 23:00:00,62-63,25,87,0,60,11.3,E,112,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-pm.svg,2026-09-22T15:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-20 12:00:00,2026-09-20 20:00:00,11-12,26,87,0,38,29.2,E,131,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T12:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-20 15:00:00,2026-09-20 23:00:00,14-15,25,91,0,24,19.4,E,98,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T15:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-20 18:00:00,2026-09-21 02:00:00,17-18,24,94,0,22,14.1,E,100,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T18:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-20 21:00:00,2026-09-21 05:00:00,20-21,23,96,0,45,12.7,N,28,S,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T21:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-21 00:00:00,2026-09-21 08:00:00,23-24,27,72,0,61,16.7,E,108,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,2026-09-21T00:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-21 03:00:00,2026-09-21 11:00:00,26-27,30,66,0,35,14.1,E,132,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T03:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-21 06:00:00,2026-09-21 14:00:00,29-30,31,65,0,3,17.6,SE,139,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T06:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-21 09:00:00,2026-09-21 17:00:00,32-33,27,79,0,4,14.6,SE,136,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T09:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-21 12:00:00,2026-09-21 20:00:00,35-36,25,87,0,0,29.8,E,126,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T12:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-21 15:00:00,2026-09-21 23:00:00,38-39,25,91,0,25,25.8,E,110,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T15:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-21 18:00:00,2026-09-22 02:00:00,41-42,25,95,0,35,24.1,NE,82,SW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T18:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-21 21:00:00,2026-09-22 05:00:00,44-45,24,94,0,50,10.7,N,13,S,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T21:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-22 00:00:00,2026-09-22 08:00:00,47-48,28,74,0,10,11.2,NE,80,SW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T00:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-22 03:00:00,2026-09-22 11:00:00,50-51,32,65,0,0,18.1,E,112,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T03:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-22 06:00:00,2026-09-22 14:00:00,53-54,32,69,0,53,18.1,E,112,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-22T06:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-22 09:00:00,2026-09-22 17:00:00,56-57,27,85,0,65,24.5,E,90,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,2026-09-22T09:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-22 12:00:00,2026-09-22 20:00:00,59-60,25,88,0,40,24.5,E,90,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-22T12:00:00Z
51,51.71,51.71.01,51.71.01.2008,51.71.01.2008,Bali,Kota Denpasar,Denpasar Selatan,Pemogan,2026-09-20T00:00:00,2026-09-22 15:00:00,2026-09-22 23:00:00,62-63,25,88,0,61,10.4,E,112,W,,,2,Cerah Berawan,Partly Cloudy,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-pm.svg,2026-09-22T15:00:00Z
51,51.71,51.71.01,51.71.01.2009,51.71.01.2009,Bali,Kota Denpasar,Denpasar Selatan,Sanur Kaja,2026-09-20T00:00:00,2026-09-20 12:00:00,2026-09-20 20:00:00,11-12,26,88,0,38,20.4,SE,136,NW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T12:00:00Z
51,51.71,51.71.01,51.71.01.2009,51.71.01.2009,Bali,Kota Denpasar,Denpasar Selatan,Sanur Kaja,2026-09-20T00:00:00,2026-09-20 15:00:00,2026-09-20 23:00:00,14-15,24,92,0,39,16.1,E,104,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T15:00:00Z
51,51.71,51.71.01,51.71.01.2009,51.71.01.2009,Bali,Kota Denpasar,Denpasar Selatan,Sanur Kaja,2026-09-20T00:00:00,2026-09-20 18:00:00,2026-09-21 02:00:00,17-18,24,94,0,31,15.4,E,94,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T18:00:00Z
